Symbol,Name,Index,Description,Category,Provider,Expense_Ratio,Dividend,Div_Yield,Market_Cap,Shares,Avg_Vol,Beta,Asset,Size,Style,Region,Sector,Leveraged,Inverse,Top_Holdings,Chart
AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,MSCI All Country Asia ex Japan Index,The index measures the performance of 11 developed and emerging equity market.,Asia Pacific Equities,iShares,0.7400%,$0.36,1.8400%,"$1,687.89",31,"527,890",1,Equity,,,Pacific ex-Japan,,,,
ACWI,MSCI All Country World Index Fund,MSCI All Country World Index,The Index is designed to measure the performance of global equity markets.,Global Equities,iShares,0.3500%,$0.36,1.4100%,"$1,176.64",30,"379,781",1,Equity,Large-Cap,Blend,Global/Multi-Region,,,,
ACWX,iShares MSCI ACWI ex US Index Fund,MSCI All Country World ex-U.S. Index,"The index measures the performance of global equity markets, excluding the United States.",Global Equities,iShares,0.3500%,$0.52,1.4700%,$654.07,17,"161,924",1,Equity,Large-Cap,Blend,Ex-U.S.,,,,
ADRA,PowerShares BLDRS Asia 50 ADR Index Fund,Bank of New York Mellon Asia 50 ADR Index,The Index is capitalization-weighted and designed to track the performance of approximately 50 Asian market-based depositary receipts.,Asia Pacific Equities,Invesco PowerShares,0.2300%,$0.19,1.4300%,$44.44,2,"9,980",1,Equity,,,Asia,,,,
ADRD,PowerShares BLDRS Developed Markets 100 ADR Index,Bank of New York Mellon Developed Markets 100 ADR Index,The Index is capitalization-weighted and designed to track the performance of approximately 100 developed market-based depositary receipts.,Foreign Large Cap Equities,Invesco PowerShares,0.300%,$0.28,5.8300%,$62.38,3,"13,461",1,Equity,Large-Cap,Blend,Developed Markets,,,,
ADRE,PowerShares BLDRS Emerging Markets 50 ADR Index Fund,Bank of New York Mellon Emerging Markets 50 ADR Index,The Index is capitalization-weighted and designed to track the performance of approximately 50 emerging market-based depositary receipts.,Emerging Markets Equities,Invesco PowerShares,0.300%,$0.27,2.4700%,$617.46,15,"154,659",1,Equity,Large-Cap,Blend,Emerging Markets,,,,
ADRU,PowerShares BLDRS Europe 100 ADR Index Fund,Bank of New York Mellon Europe 100 ADR Index,The Index is capitalization weighted and designed to track the performance of approximately 100 European market-based depositary receipts.,Europe Equities,Invesco PowerShares,0.300%,$0.29,7.4700%,$20.17,1,"6,431",1,Equity,,,Europe,,,,
ADZ,DB Agriculture Short ETN,Deutsche Bank Liquid Commodity Index-Optimum Yield Agriculture (-100%),"The index is designed to reflect the performance of certain corn, wheat, soybean and sugar futures contracts plus the returns from investing in 3 month United States Treasury Bills.",Inverse Commodities,Invesco PowerShares,0.7500%,$0,0%,$3.78,0,"2,378",0,Commodity,,,,,,Yes,
AFK,Market Vectors-Africa Index ETF,Dow Jones Africa Titans 50 Index,The Index provides exposure to publicly traded companies that are headquartered in Africa or that generate the majority of their revenues in Africa.,Emerging Markets Equities,Van Eck,0.8300%,$0.19,0.6600%,$54.33,2,"14,431",1,Equity,,,Africa,,,,
AGA,DB Agriculture Double Short ETN,Deutsche Bank Liquid Commodity Index-Optimum Yield Agriculture (-200%),"The index is designed to reflect the performance of certain corn, wheat, soybean and sugar futures contracts plus the returns from investing in 3 month United States Treasury Bills.",Leveraged Commodities,Invesco PowerShares,0.7500%,$0,0%,$9.3,0,"3,476",-1,Commodity,,,,,2x,Yes,
AGF,DB Agriculture Long ETN,Deutsche Bank Liquid Commodity Index-Optimum Yield Agriculture,"The index is designed to reflect the performance of certain corn, wheat, soybean and sugar futures contracts plus the returns from investing in 3 month United States Treasury Bills.",Agricultural Commodities,Invesco PowerShares,0.7500%,$0,0%,$4.32,0,"2,353",0,Commodity,,,,,,,
AGG,iShares Barclays Aggregate Bond Fund,Barclays Capital U.S. Aggregate Bond Index,The index measures the performance of the U.S. investment grade bond market.,Total Bond Market,iShares,0.2400%,$0.31,3.8500%,"$11,688.03",110,"730,396",0,Bond,,,,,,,
